Date,Open,High,Low,Close,Adj Close,Volume
"Jul 9, 2025",248.99,251.72,246.82,250.33,250.33,"55,89,000"
"Jul 8, 2025",248,249.46,243.34,247.05,247.05,"59,94,500"
"Jul 7, 2025",247.52,249.44,246.48,248.65,248.65,"53,36,400"
"Jul 3, 2025",245.55,248.7,245,246.88,246.52,"30,89,500"
"Jul 2, 2025",248,249.13,243.66,244.75,244.39,"62,28,600"
"Jul 1, 2025",255.75,255.75,247.11,249.02,248.66,"71,78,300"
"Jun 30, 2025",256.31,257.89,253.87,257.39,257.01,"81,35,800"
"Jun 27, 2025",251.85,260.55,251.78,254.51,254.14,"2,69,88,000"
"Jun 26, 2025",251.18,255.48,250,251,250.63,"67,90,300"
"Jun 25, 2025",250.08,250.99,248.48,249.9,249.54,"51,97,400"
"Jun 24, 2025",248.38,249.39,245.57,248.75,248.39,"52,55,700"
"Jun 23, 2025",239.24,248.46,238.62,247.81,247.45,"80,52,000"
"Jun 20, 2025",239.72,240.8,236.51,239.37,239.02,"91,42,100"
"Jun 18, 2025",235.96,239.52,232.24,235.89,235.55,"77,61,100"
"Jun 17, 2025",236.73,238.97,234.88,235.75,235.41,"57,20,500"
"Jun 16, 2025",237.6,239.94,236.07,236.54,236.2,"45,05,600"
"Jun 13, 2025",235,238,233.7,236.6,236.25,"74,20,300"
"Jun 12, 2025",240,243.43,238.68,239.99,239.64,"89,46,600"
"Jun 11, 2025",242.64,246.96,238.51,245.52,245.16,"69,40,800"
"Jun 10, 2025",250.78,251.25,239.75,242,241.65,"1,12,30,900"
"Jun 9, 2025",254.02,255.32,251.14,251.41,251.04,"57,71,600"
"Jun 6, 2025",253,257.47,252.07,255.63,255.26,"57,96,700"
"Jun 5, 2025",252.48,253.01,250.11,251.92,251.55,"41,88,200"
"Jun 4, 2025",249.98,253.06,249.72,250.88,250.51,"58,11,500"
"Jun 3, 2025",247.5,250.5,244.18,248.87,248.51,"64,56,200"
"Jun 2, 2025",245.85,248.1,244.51,247.48,247.12,"54,50,800"
"May 30, 2025",243.39,246.86,242.3,245.91,245.55,"91,43,000"
"May 29, 2025",244.53,244.94,241.49,244.16,243.8,"52,43,700"
"May 28, 2025",241.78,246,241.6,243.67,243.31,"95,70,500"
"May 27, 2025",235.42,242.28,235.1,241.78,241.43,"71,62,400"
"May 23, 2025",228.84,233.69,228.01,232.79,232.45,"42,34,200"
"May 22, 2025",231.19,232.45,229.42,230.27,229.93,"69,09,400"
"May 21, 2025",234.86,237.3,232.66,233.54,233.2,"46,31,000"
"May 20, 2025",234.16,236.08,233.8,235.26,234.92,"43,11,000"
"May 19, 2025",229.5,235.87,228.92,235.29,234.95,"47,34,400"
"May 16, 2025",229.07,232.32,227.59,231.78,231.44,"46,51,700"
"May 15, 2025",223.45,230.09,223.45,229.38,229.05,"72,07,700"
"May 14, 2025",222.94,223.35,220.45,223.24,222.91,"47,64,700"
"May 13, 2025",220,223.55,219.3,221.58,221.26,"71,88,700"
"May 12, 2025",219.34,219.98,211.15,218.95,218.63,"54,68,000"
"May 9, 2025",215.21,216.12,212.73,214.96,214.65,"37,78,200"
"May 8, 2025",211,216.8,210.51,214.49,214.18,"58,70,300"
"May 7, 2025",208.9,210.63,208.22,209.92,209.61,"39,68,300"
"May 6, 2025",206.02,209.83,205.92,208.6,208.3,"31,69,600"
"May 5, 2025",206.31,210.52,205.65,208.94,208.64,"44,66,500"
"May 2, 2025",206.32,208.72,205.56,207.7,207.4,"38,31,700"
"May 1, 2025",202.25,205.24,200.86,203.61,203.31,"46,87,600"
"Apr 30, 2025",198.6,202.03,196.86,201.54,201.25,"44,36,300"
"Apr 29, 2025",200.49,202.43,199.65,200.5,200.21,"34,44,200"
"Apr 28, 2025",199.5,201.48,198.6,200.86,200.57,"34,16,900"
"Apr 25, 2025",198.7,199.99,197.26,198.43,198.14,"43,90,600"
"Apr 24, 2025",194.33,197.7,194.05,197.41,197.12,"59,06,300"
"Apr 23, 2025",195.94,197.03,192.57,193.68,193.4,"72,35,700"
"Apr 22, 2025",186.5,190,182.1,189.18,188.9,"1,30,41,000"
"Apr 21, 2025",179.29,180.79,176.02,178.35,178.09,"85,01,600"
"Apr 17, 2025",183.39,184.24,181.59,181.79,181.52,"49,28,200"
"Apr 16, 2025",184.07,185.88,181.28,182.45,182.18,"51,28,000"
"Apr 15, 2025",183.88,188.44,182.29,185.67,185.4,"49,99,300"
"Apr 14, 2025",185.35,187.61,183.83,186,185.73,"53,19,100"
"Apr 11, 2025",179.01,184.25,175.05,181.67,181.41,"64,91,100"
"Apr 10, 2025",181.9,185.41,175.96,181.51,181.25,"81,50,900"
"Apr 9, 2025",165.81,189.11,165.7,187.27,187,"1,25,48,600"
"Apr 8, 2025",176,178.35,166.36,169.37,169.12,"1,19,03,400"
"Apr 7, 2025",163.21,175.34,159.36,167.7,167.46,"1,85,45,500"
"Apr 4, 2025",179.68,183.16,165.42,166.81,166.57,"1,81,67,100"
"Apr 3, 2025",189.84,194.15,186.72,187.63,187.36,"1,27,50,500"
"Apr 2, 2025",199.48,202.19,198.43,199.77,199.48,"60,26,500"
"Apr 1, 2025",199.56,204.5,198.47,203.79,203.49,"38,54,000"
"Mar 31, 2025",197.53,201.57,194.45,200.15,199.86,"69,23,100"
"Mar 28, 2025",205.6,206.86,199.59,199.88,199.59,"51,78,400"
"Mar 27, 2025",206.36,207.69,202.8,205.88,205.58,"33,01,900"
"Mar 26, 2025",212.29,214.21,206.69,207.37,207.07,"47,91,100"
"Mar 25, 2025",210.77,212.76,210.25,212.13,211.82,"43,15,200"
